start,end,today,diviceid,titre_entretien,admin1_enquete,admin2_enquete,admin3_enquete,localite_enquete_realise,admin1_localite,admin2_localite,admin3_localite,nom_localite_renseigne,autre,source_info,statut_deplacement_informateur,source_info_localite,source_info_localite_autre,moyen_communication_contact,moyen_communication_contact_autre,info_dernier_mois,Maintenant_nous_allo_personnes_deplac_es,large_deplacement_population,date_deplacement,raison_deplacement,raison_deplacement_autre,idp_site,idp_famille_accueil,proportion_deplaces,date_dernier_idp,provenance_dernier_idp,provenance_dernier_idp_prefecture,provenance_dernier_idp_sous_prefecture,raison_presence,raison_presence_autre,condition_retour,condition_retour_autre,Maintenant_nous_allo_personnes_retourn_es,retourne_dernier_mois,date_retour,provenance_dernier_retourne,provenance_dernier_retourne_prefecture,provenance_dernier_retourne_sous_prefecture,Maintenant_nous_allo_ns_sur_les_rapatri_s,presence_rapatries,date_retour_rapatries,provenance_rapatries,provenance_rapatries_pays,provenance_dernier_rapaties_autre,raison_rapatriement,raison_rapatriement_autre,Maintenant_nous_allo_s_curit_alimentaire,acces_nourriture,raison_inaccessible,raison_inacessible_autre,strategie_adaptation,strategie_adaptation/aliment_moins_chers,strategie_adaptation/diminution_quantites,strategie_adaptation/emprunter_argent_nourriture,strategie_adaptation/restrictions_adultes,strategie_adaptation/diminution_nb_repas,strategie_adaptation/privation,strategie_adaptation/rien,strategie_adaptation/autre,strategie_adaptation/nsp,strategie_adaptation_autre,strategie_survie,strategie_survie/strategie_survie_1,strategie_survie/strategie_survie_2,strategie_survie/strategie_survie_3,strategie_survie/strategie_survie_4,strategie_survie/strategie_survie_6,strategie_survie/strategie_survie_7,strategie_survie/strategie_survie_8,strategie_survie/strategie_survie_9,strategie_survie/strategie_survie_10,strategie_survie/strategie_survie_11,strategie_survie/strategie_survie_autre,strategie_survie/strategie_survie_nsp_nspr,strategie_survie_autre,marche_fonctionnel,marche_fonctionnel_acces,marche_fonctionnel_prix,assistance_alimentaire,Maintenant_nous_allo_ion_sur_la_nutrition,malnutri_moins_cinq_ans,malnutri_plus_cinq_ans,acces_centre_prise_en_charge_malnutri,programme_alimentaire_article_nutritionnel,Maintenant_nous_allo_s_moyens_d_existence,depense_alimentation,source_revenu,source_revenu_autre,revenu_moyen,acces_terre,barriere_agriculture,barriere_agriculture_autre,possession_betail,type_betail,epidemie_betail,assistance_agricole,Maintenant_nous_all_uestions_sur_la_sant,pb_sante_moins_cinq_ans,pb_sante_moins_cinq_ans_autre,pb_sante_plus_cinq_ans,pb_sante_plus_cinq_ans_autre,cause_deces,cause_deces_autre,comparaison_deces,lieu_accouchement,lieu_accouchement_autre,raison_accouchement_maison,service_sante_distance_marche,lieu_soin_choisi,lieu_soin_choisi_autre,service_sante_duree_marche,service_sante_acces,service_sante_barriere,service_sante_barriere_autre,assistance_service_sante,Mainteneant_nous_all_ns_sur_la_protection,incident_mort,incident_pillage,sentiment_securite,risque_protection_fille,risque_protection_fille_autre,risque_protection_garcon,risque_protection_garcon_autre,risque_protection_femme,risque_protection_femme_autre,risque_protection_homme,risque_protection_homme_autre,mineurs_separes,mineurs_separes_raison,mineurs_separes_raison_autre,relation_idp_hote,assistance_protection,assistance_protection_autre,programme_protection_assistance,Maintenant_nous_allo_les_NFI_et_les_abris,type_abris_hote,type_abris_hote_autre,type_abris_refugie_idp,type_abris_refugie_idp_autre,type_abris_retourne_rapatrie,type_abris_retourne_rapatrie_autre,materiaux_dispo,paille,tole,bache,corde,bois,brique_cuite,brique_non_cuite,fer,ciment,nfi,couverture,seau,bidon,kit_cuisine,moustiquaire,couchage,bache_001,habit,savon,programme_assistance_abris_nfi,Maintenant_nous_allo_ns_relatives_l_eau,source_eau_boire,source_eau_boire_autre,source_eau_usage,source_eau_usage_autre,source_eau_temp,source_eau_saison_seche,acces_eau,acces_eau_barriere,acces_eau_barriere_autre,Maintenant_nous_allo_au_lavage_des_mains,infra_sanitaire_utilise,infra_sanitaire_utilise_autre,dispositif_lavage_main,programme_assistance_eha,Maintenant_nous_allo_tions_sur_l_ducation,service_education_fonctionnel,service_education_indispo,service_education_indispo_autre,participation_fille,participation_garcon,participation_fille_ado,participation_garcon_ado,acces_education_barriere,acces_education_barriere_autre,programme_assistance_education,Maintenant_nous_allo_ismes_de_redevabilit,source_info_confiance,source_info_confiance_autre,radio_fonctionnelle,reseau_tel_fonctionnel,besoins_prioritaires,priorite_un,priorite_deux,priorite_trois,Maintenant_nous_allo_n_de_notre_entretien,ki_zone,ki_zone_contact,participation_focus_group,final_enquete,gpslocation,_gpslocation_latitude,_gpslocation_longitude,_gpslocation_altitude,_gpslocation_precision,_id,_uuid,_submission_time,_validation_status,_index
2019-11-13T15:15:14.948+01,2019-11-13T16:23:09.691+01,11/13/2019,3.59667E+14,,ouham_pende,bocaranga,bocaranga,Bocaranga ,ouham_pende,koui,koui,bonawala,,evaluation_ki,idp,visite_localite,,,,oui,,oui,dernier_mois,conflits_armes,,non,non,,,,,,,,,,,non,,,,,,oui,dernier_mois,oui,tchad,,meilleure_secu,,,oui,,,aliment_moins_chers diminution_quantites restrictions_adultes,1,1,0,1,0,0,0,0,0,,strategie_survie_1 strategie_survie_4 strategie_survie_6,1,0,0,1,1,0,0,0,0,0,0,0,,oui,non,oui,non,,oui,oui,non,non,,sup_moitie,agriculture,,inf_dix,non,insecurite,,non,,,non,,diarrhee,,palu,,nsp,,nsp,maison,,maternite_non_fonctionnelle,non,,,,pas_suffisant,destruction_combat,,non,,oui,non,non,mariage_force,,travail_force,,violence_sexuelle,,travail_force,,non,,,fragile,personne,,non,,urgence,,habitat_long_terme,,batiment_abandonné,,,non,non,non,non,non,non,non,non,non,,non,non,oui,oui,non,oui,non,non,oui,non,,riviere,,riviere,,sup_trente_min,oui,pas_suffisant,distance,,,defecation_air_libre,,non,non,,non,destruction_combat,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,finances,,non,,chef_communaute,,non,non,,sante,education,abris,,oui,Julle à Sangadoro.  Aidé à MÈRE.  IYA à BOBALI,oui,,,,,,,74384175,5fd19359-1bf9-4c89-8785-dc01b1403fe7,2019-11-14T15:40:47,,1
2019-11-13T14:52:51.402+01,2019-11-14T10:35:03.186+01,11/13/2019,3.56676E+14,,ouham_pende,bocaranga,bocaranga,Bocaranga,ouham_pende,koui,koui,jean basse,,evaluation_ki,hote,contact_dans_localite,,autre,Rencontre face à face,oui,,oui,dernier_mois,conflits_armes,,non,oui,minorite,dernier_mois,oui,ouham_pende,koui,conflits_armes,,securite,,,oui,dernier_mois,oui,ouham_pende,koui,,oui,dernier_mois,oui,camroun,,famille,,,non,destruction_betail,,aliment_moins_chers diminution_quantites,1,1,0,0,0,0,0,0,0,,strategie_survie_1 strategie_survie_2,1,1,0,0,0,0,0,0,0,0,0,0,,oui,non,non,non,,oui,oui,non,oui,,majorite,agriculture,,dix_trente,non,manque_semence_outils,,non,,,non,,palu,,palu,,autre,Manque financière pour payer les medicament,non,poste_sante,,,oui,poste_sante,,inf_heure,insuffisant,medicament_indispo,,non,,oui,oui,non,mariage_force,,mariage_force,,violence_sexuelle,,harcelement,,oui,etudes,,bonne,comite_protection,,oui,,urgence,,urgence,,urgence,,,oui,oui,oui,oui,oui,non,oui,oui,non,,non,non,non,non,non,non,non,non,oui,non,,riviere,,riviere,,inf_trente_min,non,pas_suffisant,indispo_marche,,,defecation_air_libre,,oui,non,,oui,,,plus_moitie,majorite,moins_moitie,plus_moitie,finances,,non,,chef_communaute,,non,oui,,education,sante,secal,,oui,Dengala pierre,oui,,,,,,,74384486,0cd328f6-710d-429b-aa33-b0fecdae1933,2019-11-14T15:42:35,,2
2019-11-14T11:58:09.928+01,2019-11-14T12:58:11.270+01,11/14/2019,3.56676E+14,,ouham_pende,ngaoundaye,dilouki,Bocaranga,ouham_pende,ngaoundaye,dilouki,mbaibere,,evaluation_ki,idp,habite_localite,,,,oui,,oui,dernier_mois,autre,Incursion des groupes armés dans la localité,oui,oui,minorite,derniere_annee,oui,ouham_pende,ngaoundaye,conflits_armes,,securite,,,oui,dernier_mois,oui,ouham_pende,ngaoundaye,,oui,dernier_mois,oui,camroun,,famille,,,non,destruction_betail,,aliment_moins_chers diminution_quantites diminution_nb_repas,1,1,0,0,1,0,0,0,0,,strategie_survie_1 strategie_survie_2 strategie_survie_6,1,1,0,0,1,0,0,0,0,0,0,0,,non,,,non,,oui,oui,non,non,,majorite,peche_chasse,,dix_trente,oui,,,oui,grand,non,non,,autre,"Anémie, malnutrition aiguë, paludisme. ",autre,"Anémie, malnutrition aiguë, paludisme.",maladie,,oui,maison,,maternite_trop_chere,oui,autre,Manque de moyens,inf_demie_journee,pas_suffisant,medicament_indispo,,oui,,oui,oui,non,mariage_force,,recrutement_force,,violence_sexuelle,,recrutement_force,,oui,recherche_travail,,bonne,autorite_locale,,non,,urgence,,urgence,,urgence,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,riviere,,riviere,,sup_trente_min,non,insuffisant,distance,,,defecation_air_libre,,non,non,,oui,,,moins_moitie,presque_aucun,presque_aucun,presque_aucun,autre,Insécurité,non,,chef_communaute,,non,non,,abris,sante,nfi,,oui,NABAI Bernard,non,,,,,,,74384502,5d832fab-72e1-42ec-84b8-9cb20887a83d,2019-11-14T15:42:42,,3
2019-11-13T14:52:58.759+01,2019-11-14T14:28:23.884+01,11/13/2019,3.56676E+14,,ouham_pende,ngaoundaye,dilouki,Bocaranga,ouham_pende,ngaoundaye,dilouki,usine ndim,,evaluation_ki,idp,visite_localite,,,,oui,,oui,3_dernier_mois,conflits_communautaire,,oui,oui,inf_moitie,3_dernier_mois,oui,ouham_pende,ngaoundaye,conflits_armes,,securite,,,oui,dernier_mois,oui,ouham_pende,ngaoundaye,,oui,3_dernier_mois,oui,tchad,,raison_eco,,,non,destruction_betail,,diminution_quantites privation,0,1,0,0,0,1,0,0,0,,strategie_survie_1 strategie_survie_2,1,1,0,0,0,0,0,0,0,0,0,0,,oui,non,oui,oui,,oui,oui,non,oui,,minorite,agriculture,,inf_dix,non,manque_moyens,,oui,grand,oui,oui,,diarrhee,,fievre,,maladie,,non,maison,,maternite_trop_chere,non,,,,insuffisant,insecu_forte,,non,,non,oui,non,mariage_force,,enlevement,,violence_voisins,,vol_betail,,oui,engagement_arme,,bonne,comite_protection,,non,,urgence,,urgence,,urgence,,,oui,non,non,oui,oui,oui,oui,non,non,,oui,oui,oui,oui,non,non,non,oui,oui,non,,source_non_amenagee,,source_non_amenagee,,inf_trente_min,non,pas_suffisant,distance,,,defecation_air_libre,,non,non,,oui,,,presque_aucun,plus_moitie,presque_aucun,plus_moitie,ecole_surpeuplee,,non,,humanitaire_ong_nat,,non,oui,,education,secal,eha,,oui,Bairy Narcisse 75316126,oui,,,,,,,74384629,53760f2e-de3f-49b2-8989-157918230d9f,2019-11-14T15:43:20,,4
2019-11-14T14:29:01.637+01,2019-11-14T14:56:52.863+01,11/14/2019,3.56676E+14,,ouham_pende,ngaoundaye,dilouki,Bocaranga,ouham_pende,ngaoundaye,dilouki,usine ndim,,evaluation_ki,idp,visite_localite,,,,oui,,oui,3_dernier_mois,conflits_armes,,non,oui,minorite,3_dernier_mois,oui,ouham_pende,ngaoundaye,conflits_armes,,securite,,,oui,3_dernier_mois,oui,ouham_pende,ngaoundaye,,oui,3_dernier_mois,oui,camroun,,famille,,,non,secu,,diminution_quantites diminution_nb_repas,0,1,0,0,1,0,0,0,0,,strategie_survie_11,0,0,0,0,0,0,0,0,0,1,0,0,,oui,oui,oui,non,,oui,oui,non,non,,sup_moitie,agriculture,,dix_trente,oui,,,oui,grand,oui,non,,palu,,autre,Anémie,maladie,,non,maison,,maternite_trop_chere,oui,centre_sante,,inf_trente_min,pas_suffisant,ressource_financiere,,non,,non,non,non,mariage_force,,vol_betail,,harcelement,,kidnapping_travail_force,,non,,,bonne,comite_protection,,non,,urgence,,urgence,,urgence,,,oui,non,non,oui,oui,non,oui,non,non,,oui,oui,oui,oui,non,non,non,oui,oui,non,,forage,,forage,,inf_trente_min,oui,pas_suffisant,distance,,,defecation_air_libre,,non,non,,non,destruction_catastrophe_naturelle,,presque_aucun,plus_moitie,moins_moitie,moins_moitie,finances,,non,,chef_communaute,,non,oui,,sante,education,abris,,oui,Soule akonga Lili 75372073,oui,,,,,,,74384666,71e82962-2819-46b5-9804-569286dd8a55,2019-11-14T15:43:31,,5
2019-11-14T15:16:49.790+01,2019-11-14T15:39:26.734+01,11/14/2019,3.56676E+14,,ouham_pende,ngaoundaye,yeme,Bocaranga,ouham_pende,ngaoundaye,yeme,nzakoundou,,evaluation_presentielle,idp,visite_localite,,,,oui,,oui,3_dernier_mois,conflits_communautaire,,non,oui,minorite,3_dernier_mois,oui,ouham_pende,ngaoundaye,conflits_communautaire,,famille,,,oui,3_dernier_mois,oui,ouham_pende,ngaoundaye,,oui,3_dernier_mois,oui,tchad,,famille,,,non,destruction_combat,,diminution_quantites,0,1,0,0,0,0,0,0,0,,strategie_survie_2,0,1,0,0,0,0,0,0,0,0,0,0,,oui,non,oui,non,,oui,oui,non,non,,inf_moitie,agriculture,,dix_trente,oui,,,oui,petit,oui,non,,diarrhee,,palu,,conflit_arme,,non,maison,,manque_personnel,non,,,,pas_suffisant,insecu_forte,,non,,non,oui,non,mariage_force,,pillage_criminalite,,mariage_force,,harcelement,,non,,,bonne,comite_protection,,non,,urgence,,urgence,,urgence,,,oui,non,non,oui,non,oui,oui,non,non,,oui,oui,non,oui,non,non,non,non,oui,non,,forage,,puit_protege,,eau_accessible_lieu,non,pas_suffisant,distance,,,defecation_air_libre,,non,non,,non,destruction_catastrophe_naturelle,,presque_aucun,plus_moitie,presque_aucun,moins_moitie,finances,,non,,chef_communaute,,non,non,,sante,eha,education,,non,,oui,,,,,,,74384697,197abaaa-a26f-4ea6-95c2-0b94d81ace35,2019-11-14T15:43:40,,6
2019-11-14T10:36:16.439+01,2019-11-14T12:37:12.188+01,11/14/2019,3.56676E+14,,ouham_pende,bocaranga,bocaranga,Bocaranga,ouham_pende,ngaoundaye,yeme,nzakoundou,,evaluation_ki,idp,visite_localite,,,,oui,,oui,dernier_mois,conflits_armes,,oui,oui,sup_moitie,dernier_mois,oui,ouham_pende,ngaoundaye,conflits_armes,,securite,,,non,,,,,,non,,,,,,,,non,destruction_betail,,aliment_moins_chers restrictions_adultes privation,1,0,0,1,0,1,0,0,0,,strategie_survie_1 strategie_survie_2 strategie_survie_3,1,1,1,0,0,0,0,0,0,0,0,0,,oui,non,oui,non,,oui,oui,non,non,,sup_moitie,agriculture,,inf_dix,non,insecurite,,non,,,non,,palu,,meningite,,maladie,,oui,maison,,manque_personnel,non,,,,pas_suffisant,medicament_indispo,,non,,non,oui,non,violence_sexuelle,,travail_force,,mariage_force,,kidnapping_travail_force,,oui,perdu_pendant_deplacement,,fragile,autorite_locale,,non,,habitat_long_terme,,batiment_abandonné,,nsp,,,non,non,non,non,non,non,oui,non,non,,oui,non,non,oui,non,oui,non,non,oui,non,,forage,,riviere,,sup_trente_min,non,pas_suffisant,distance,,,defecation_air_libre,,non,non,,oui,,,moins_moitie,moins_moitie,moins_moitie,moins_moitie,finances,,non,,humanitaire_ong_int,,non,non,,secal,sante,protection,,oui,MADO adjointe au maire de la commune de YEME,oui,,,,,,,74387774,a05931f0-3bae-47c5-8305-0701afb80fc7,2019-11-14T16:07:39,,7
2019-11-13T15:02:29.892+01,2019-11-14T10:45:35.927+01,11/13/2019,3.56676E+14,,ouham_pende,bocaranga,bocaranga,Camp-mission,ouham_pende,koui,koui,mbella,,evaluation_ki,idp,visite_localite,,,,oui,,oui,dernier_mois,conflits_armes,,oui,oui,majorite,dernier_mois,oui,ouham_pende,koui,conflits_armes,,acces_aide_humanitaire,,,oui,dernier_mois,oui,ouham_pende,bocaranga,,oui,dernier_mois,oui,camroun,,meilleure_secu,,,non,destruction_combat,,privation,0,0,0,0,0,1,0,0,0,,strategie_survie_autre,0,0,0,0,0,0,0,0,0,0,1,0,,oui,oui,oui,non,,oui,oui,non,non,,majorite,peche_chasse,,inf_dix,non,insecurite,,oui,grand,oui,non,,palu,,palu,,maladie,,oui,maison,,autre,oui,centre_sante,,inf_demie_journee,insuffisant,ressource_financiere,,non,,oui,oui,non,travail_force,,autre,Travaux de chantier,autre,Travaux de ménage au peulh,autre,Travaux de chantier,oui,autre,Orphelins,bonne,autre,Chef de groupe,non,,autre,Hanghar,autre,Hanghar,autre,Hanghar en paille,,non,non,non,non,non,non,non,non,non,,non,non,non,oui,non,non,non,non,oui,non,,riviere,,riviere,,sup_trente_min,oui,suffisant,,,,defecation_air_libre_cours_eau,,non,non,,oui,,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,enfant_occupe,,non,,autre,Agent relais communautaire,non,non,,subsistance,sante,nsp,,non,,oui,,,,,,,74387805,ec06bcb4-d95e-4060-ab72-db1b35f307e5,2019-11-14T16:07:47,,8
2019-11-14T13:47:53.064+01,2019-11-14T16:18:32.623+01,11/14/2019,3.56676E+14,,ouham_pende,bocaranga,bocaranga,Bocaranga,ouham_pende,ngaoundaye,mbili,mbadoui,,evaluation_ki,idp,visite_localite,,,,oui,,oui,derniere_annee,conflits_armes,,non,non,,,,,,,,,,,oui,dernier_mois,oui,ouham_pende,bocaranga,,oui,dernier_mois,oui,camroun,,meilleure_secu,,,non,destruction_combat,,diminution_quantites restrictions_adultes diminution_nb_repas,0,1,0,1,1,0,0,0,0,,strategie_survie_2,0,1,0,0,0,0,0,0,0,0,0,0,,oui,oui,oui,non,,oui,oui,non,non,,majorite,jtt_agricole,,inf_dix,oui,,,oui,grand,non,non,,palu,,palu,,maladie,,oui,maison,,acces_physique,oui,poste_sante,,inf_demie_journee,pas_suffisant,ressource_financiere,,oui,,non,oui,oui,violence_sexuelle,,autre,Manque de moyens,autre,Accès difficile au besoin fallial,autre,Accès difficile a la libre circulation,non,,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,urgence,,,non,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,oui,oui,non,,riviere,,riviere,,sup_trente_min,oui,insuffisant,distance,,,defecation_air_libre,,non,non,,oui,,,presque_aucun,presque_aucun,presque_aucun,presque_aucun,finances,,non,,chef_communaute,,non,non,,sante,eha,education,,oui,NGAITOM Jean,oui,,,,,,,74387836,d011b5fd-cb5c-445a-bb4b-da31a595da4c,2019-11-14T16:07:57,,9
2019-11-15T08:40:28.320+01,2019-11-15T11:43:35.545+01,11/15/2019,3.56676E+14,,haut_mbomou,bambouti,lili,Obo: nairobi3,haut_mbomou,bambouti,lili,ikpiro,,evaluation_ki,idp,visite_localite,,,,oui,,oui,dernier_mois,conflits_armes,,oui,oui,majorite,dernier_mois,oui,ouaka,bambari,conflits_armes,,securite,,,oui,dernier_mois,oui,haut_mbomou,obo,,oui,3_dernier_mois,oui,sud_soudan,,securite_deterioree,,,non,insuffisance_pluie,,aliment_moins_chers diminution_quantites diminution_nb_repas,1,1,0,0,1,0,0,0,0,,strategie_survie_2 strategie_survie_7,0,1,0,0,0,1,0,0,0,0,0,0,,oui,oui,oui,non,,oui,oui,non,non,,inf_moitie,agriculture,,trente_cinquante,oui,,,oui,grand,oui,non,,diarrhee,,palu,,maladie,,non,maison,,manque_personnel,non,,,,insuffisant,qualite_soins,,non,,non,non,non,violence_sexuelle,,autre,Conflit d'intérêt,separation_familiale,,incident_transhumance,,oui,recherche_travail,,bonne,admin_legale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,non,non,non,oui,oui,non,non,,oui,oui,oui,oui,non,oui,non,oui,oui,non,,source_non_amenagee,,source_non_amenagee,,sup_trente_min,non,insuffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,non,destruction_combat,,presque_aucun,presque_aucun,moins_moitie,moins_moitie,enregistrement_impossible,,non,,chef_communaute,,non,non,,sante,education,eha,,oui,Anihiri Philomène,oui,,,,,,,74453033,02066d73-e154-4cc5-9c61-9b6d27185beb,2019-11-15T10:44:48,,10
