start,end,today,diviceid,titre_entretien,date_enquete,enqueteur,admin1_enquete,admin2_enquete,admin3_enquete,localite_enquete_realise,admin1_localite,admin2_localite,admin3_localite,nom_localite_renseigne,autre,source_info,genre_informateur,age_informateur,statut_deplacement_informateur,source_info_localite,source_info_localite_autre,moyen_communication_contact,moyen_communication_contact_autre,info_dernier_mois,Maintenant_nous_allo_personnes_deplac_es,large_deplacement_population,date_deplacement,raison_deplacement,raison_deplacement_autre,idp_site,idp_famille_accueil,proportion_deplaces,date_dernier_idp,provenance_dernier_idp,provenance_dernier_idp_prefecture,provenance_dernier_idp_sous_prefecture,raison_presence,raison_presence_autre,condition_retour,condition_retour_autre,Maintenant_nous_allo_personnes_retourn_es,retourne_dernier_mois,date_retour,provenance_dernier_retourne,provenance_dernier_retourne_prefecture,provenance_dernier_retourne_sous_prefecture,Maintenant_nous_allo_ns_sur_les_rapatri_s,presence_rapatries,date_retour_rapatries,provenance_rapatries,provenance_rapatries_pays,provenance_dernier_rapaties_autre,raison_rapatriement,raison_rapatriement_autre,Maintenant_nous_allo_s_curit_alimentaire,acces_nourriture,raison_inaccessible,raison_inacessible_autre,strategie_adaptation,strategie_adaptation/aliment_moins_chers,strategie_adaptation/diminution_quantites,strategie_adaptation/emprunter_argent_nourriture,strategie_adaptation/restrictions_adultes,strategie_adaptation/diminution_nb_repas,strategie_adaptation/privation,strategie_adaptation/rien,strategie_adaptation/autre,strategie_adaptation/nsp,strategie_adaptation_autre,strategie_survie,strategie_survie/strategie_survie_1,strategie_survie/strategie_survie_2,strategie_survie/strategie_survie_3,strategie_survie/strategie_survie_4,strategie_survie/strategie_survie_6,strategie_survie/strategie_survie_7,strategie_survie/strategie_survie_8,strategie_survie/strategie_survie_9,strategie_survie/strategie_survie_10,strategie_survie/strategie_survie_11,strategie_survie/strategie_survie_autre,strategie_survie/strategie_survie_nsp_nspr,strategie_survie_autre,marche_fonctionnel,marche_fonctionnel_acces,marche_fonctionnel_prix,assistance_alimentaire,Maintenant_nous_allo_ion_sur_la_nutrition,malnutri_moins_cinq_ans,malnutri_plus_cinq_ans,acces_centre_prise_en_charge_malnutri,programme_alimentaire_article_nutritionnel,Maintenant_nous_allo_s_moyens_d_existence,depense_alimentation,source_revenu,source_revenu_autre,revenu_moyen,acces_terre,barriere_agriculture,barriere_agriculture_autre,possession_betail,type_betail,epidemie_betail,assistance_agricole,Maintenant_nous_all_uestions_sur_la_sant,pb_sante_moins_cinq_ans,pb_sante_moins_cinq_ans_autre,pb_sante_plus_cinq_ans,pb_sante_plus_cinq_ans_autre,cause_deces,cause_deces_autre,comparaison_deces,lieu_accouchement,lieu_accouchement_autre,raison_accouchement_maison,service_sante_distance_marche,lieu_soin_choisi,lieu_soin_choisi_autre,service_sante_duree_marche,service_sante_acces,service_sante_barriere,service_sante_barriere_autre,assistance_service_sante,Mainteneant_nous_all_ns_sur_la_protection,incident_mort,incident_pillage,sentiment_securite,risque_protection_fille,risque_protection_fille_autre,risque_protection_garcon,risque_protection_garcon_autre,risque_protection_femme,risque_protection_femme_autre,risque_protection_homme,risque_protection_homme_autre,mineurs_separes,mineurs_separes_raison,mineurs_separes_raison_autre,relation_idp_hote,assistance_protection,assistance_protection_autre,programme_protection_assistance,Maintenant_nous_allo_les_NFI_et_les_abris,type_abris_hote,type_abris_hote_autre,type_abris_refugie_idp,type_abris_refugie_idp_autre,type_abris_retourne_rapatrie,type_abris_retourne_rapatrie_autre,materiaux_dispo,paille,tole,bache,corde,bois,brique_cuite,brique_non_cuite,fer,ciment,nfi,couverture,seau,bidon,kit_cuisine,moustiquaire,couchage,bache_001,habit,savon,programme_assistance_abris_nfi,Maintenant_nous_allo_ns_relatives_l_eau,source_eau_boire,source_eau_boire_autre,source_eau_usage,source_eau_usage_autre,source_eau_temp,source_eau_saison_seche,acces_eau,acces_eau_barriere,acces_eau_barriere_autre,Maintenant_nous_allo_au_lavage_des_mains,infra_sanitaire_utilise,infra_sanitaire_utilise_autre,dispositif_lavage_main,programme_assistance_eha,Maintenant_nous_allo_tions_sur_l_ducation,service_education_fonctionnel,service_education_indispo,service_education_indispo_autre,participation_fille,participation_garcon,participation_fille_ado,participation_garcon_ado,acces_education_barriere,acces_education_barriere_autre,programme_assistance_education,Maintenant_nous_allo_ismes_de_redevabilit,source_info_confiance,source_info_confiance_autre,radio_fonctionnelle,reseau_tel_fonctionnel,besoins_prioritaires,priorite_un,priorite_deux,priorite_trois,Maintenant_nous_allo_n_de_notre_entretien,ki_zone,ki_zone_contact,participation_focus_group,final_enquete,gpslocation,_gpslocation_latitude,_gpslocation_longitude,_gpslocation_altitude,_gpslocation_precision,_id,_uuid,_submission_time,_validation_status,_index
,,,,,,,,,,,basse_kotto,alindao,bakou,autre,,,,,,,,,,,,oui,6_dernier_mois,conflits_armes,,oui,oui,minorite,6_dernier_mois,oui,basse_kotto,alindao,conflits_armes,,securite,,,oui,AC,oui,basse_kotto,alindao,,non,,,,,AC,,,non,,,,1,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,,0,,non,,,non,,oui,oui,oui,oui,,minorite,agriculture,,inf_dix,oui,,,oui,petit,oui,non,,AC,,palu,,maladie,,oui,poste_sante,,,oui,poste_sante,,demie_journee,pas_suffisant,AC,,oui,,oui,oui,non,mariage_force,,recrutement_force,,aucun,,AC,,oui,AC,,fragile,autorite_locale,,non,,urgence,,urgence,,urgence,,,oui,non,non,non,non,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,forage,,puit_non_protege,,AC,oui,insuffisant,route_difficile_acces,,,latrine_non_acceptable,,non,oui,,oui,,,moins_moitie,moins_moitie,moins_moitie,moins_moitie,enfant_pas_interesse,,oui,,chef_religieux,,non,oui,,subsistance,secal,sante,,,,,,,,,,,,,,,
,,,,,,,,,,,basse_kotto,mingala,kotto,autre,,,,,,,,,,,,oui,3_dernier_mois,conflits_communautaire,,oui,oui,majorite,3_dernier_mois,oui,haut_mbomou,zemio,conflits_communautaire,,acces_abris,,,non,,,,,,non,,,,,,,,non,,,,1,0,1,0,0,0,0,0,0,,,1,1,0,0,0,0,0,0,0,0,,0,,non,,,non,,oui,oui,non,non,,minorite,agriculture,,inf_dix,non,insecurite,,oui,petit,oui,non,,palu,,palu,,accouchement,,oui,maison,,,non,,,,pas_suffisant,destruction_combat,,non,,oui,oui,non,mariage_force,,separation_familiale,,violence_sexuelle,,travail_force,,oui,engagement_arme,,bonne,autorite_locale,,non,,urgence,,urgence,,urgence,,,non,non,non,oui,oui,non,non,non,non,,non,non,non,non,non,non,non,non,non,non,,source_non_amenagee,,source_non_amenagee,,sup_trente_min,non,insuffisant,discrimination,,,defecation_air_libre,,non,non,,oui,,,moins_moitie,moins_moitie,moins_moitie,moins_moitie,ecole_pas_important,,non,,humanitaire_onu,,non,non,,protection,sante,eha,,,,,,,,,,,,,,,
,,,,,,,,,,,basse_kotto,mingala,kotto,mbo_pouloubou,,,,,,,,,,,,oui,3_dernier_mois,conflits_armes,,oui,oui,minorite,3_dernier_mois,oui,basse_kotto,mingala,conflits_armes,,securite,,,oui,3_dernier_mois,oui,basse_kotto,mingala,,non,,,,,mauvaises_conditions_vie,,,non,,,,1,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,,0,,oui,oui,oui,non,,oui,oui,oui,oui,,majorite,agriculture,,cinquante_cent,oui,,,oui,grand,oui,non,,palu,,fievre,,accouchement,,oui,poste_sante,,,oui,poste_sante,,inf_trente_min,insuffisant,destruction_catastrophe_naturelle,,non,,oui,non,oui,mariage_force,,recrutement_force,,violence_sexuelle,,pillage_criminalite,,non,,,fragile,leaders_religieux,,non,,urgence,,urgence,,urgence,,,oui,non,non,oui,oui,oui,oui,oui,oui,,non,non,non,oui,oui,non,non,non,oui,non,,source_amenagee,,source_amenagee,,inf_trente_min,oui,insuffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,oui,,oui,,,moins_moitie,majorite,moins_moitie,moins_moitie,enregistrement_prevu,,non,,groupes_armes,,non,non,,education,secal,sante,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,bambouti,lili,bambouti,,,,,,,,,,,,AC,,,,AC,oui,minorite,AC,oui,haut_mbomou,AC,AC,,securite,,,AC,,,,,,oui,AC,oui,sud_soudan,,AC,,,AC,,,,1,1,AC,AC,AC,0,0,0,0,,,AC,AC,0,0,AC,AC,0,0,AC,AC,,0,,AC,,,non,,oui,AC,non,non,,AC,AC,,dix_trente,oui,,,oui,AC,AC,non,,palu,,AC,,AC,,AC,maison,,,AC,,,,AC,,,non,,non,non,non,AC,,AC,,violence_sexuelle,,AC,,non,,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,AC,non,non,AC,non,oui,oui,non,non,,oui,AC,oui,oui,AC,oui,non,AC,oui,non,,AC,,AC,,sup_trente_min,non,insuffisant,AC,,,latrine_non_acceptable,,non,non,,non,destruction_combat,,AC,AC,AC,AC,autre,,non,,AC,,AC,non,,sante,education,AC,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,bambouti,lili,gbalia,,,,,,,,,,,,AC,,,,AC,oui,minorite,AC,oui,haut_mbomou,bambouti,AC,,securite,,,AC,,,,,,oui,AC,oui,sud_soudan,,AC,,,non,,,,AC,1,AC,0,1,0,0,0,0,,,1,AC,1,0,0,0,0,0,0,0,,0,,non,,,non,,AC,AC,non,non,,AC,AC,,dix_trente,oui,,,oui,grand,AC,non,,palu,,diarrhee,,AC,,non,maison,,,AC,,,,AC,,,non,,non,non,non,AC,,harcelement,,AC,,AC,,oui,recherche_travail,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,non,non,non,oui,oui,non,non,,oui,AC,oui,AC,AC,oui,non,AC,oui,non,,AC,,AC,,inf_trente_min,non,insuffisant,AC,,,AC,,non,non,,non,AC,,aucun,aucun,aucun,aucun,AC,,non,,chef_communaute,,non,non,,sante,AC,education,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,bambouti,lili,ikpiro,,,,,,,,,,,,AC,,,,AC,oui,AC,AC,oui,AC,AC,conflits_armes,,securite,,,oui,AC,oui,haut_mbomou,AC,,oui,3_dernier_mois,oui,sud_soudan,,AC,,,non,,,,AC,1,0,0,1,0,0,0,0,,,0,1,0,0,0,AC,0,0,0,AC,,0,,oui,AC,oui,non,,oui,oui,non,non,,AC,AC,,trente_cinquante,oui,,,oui,grand,oui,non,,AC,,AC,,maladie,,non,AC,,,AC,,,,AC,,,non,,non,non,non,violence_sexuelle,,autre,,AC,,AC,,oui,recherche_travail,,bonne,admin_legale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,non,AC,AC,oui,oui,non,non,,AC,AC,AC,AC,non,oui,non,oui,oui,non,,source_non_amenagee,,source_non_amenagee,,AC,non,AC,,,,AC,,non,non,,non,destruction_combat,,AC,AC,AC,moins_moitie,AC,,non,,chef_communaute,,non,non,,AC,AC,AC,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,obo,mboki,autre,,,,,,,,,,,,non,,,,non,oui,moitie,derniere_annee,non,,,recherche_moyens_subsistances,,securite,,,non,,,,,,non,,,,,,,,non,,,,1,0,1,0,1,0,0,0,0,,,1,1,1,0,1,0,0,0,0,0,,0,,oui,non,oui,non,,oui,non,oui,oui,,minorite,transformation_mine,,inf_dix,oui,,,oui,petit,non,non,,palu,,fievre,,conflit_arme,,oui,centre_sante,,,non,,,,insuffisant,destruction_combat,,non,,non,non,non,violence_sexuelle,,mariage_force,,pillage_criminalite,,harcelement,,oui,mariage,,bonne,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,batiment_abandonné,,,oui,non,oui,oui,non,oui,non,non,non,,oui,non,oui,oui,oui,non,non,oui,oui,non,,forage,,puit_non_protege,,sup_trente_min,non,juste_assez,,,,latrine_non_acceptable,,non,non,,oui,,,plus_moitie,moins_moitie,plus_moitie,moins_moitie,enfant_pas_interesse,,non,,nsp,,non,non,,protection,sante,education,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,obo,mboki,camp cades_1,,,,,,,,,,,,oui,dernier_mois,conflits_armes,,oui,oui,minorite,dernier_mois,oui,haut_mbomou,obo,conflits_armes,,securite,,,oui,dernier_mois,oui,haut_mbomou,obo,,non,,,,,mauvaises_conditions_vie,,,non,,,,1,1,0,0,1,0,0,0,0,,,1,1,1,0,0,0,0,0,0,0,,0,,oui,non,oui,non,,oui,oui,non,non,,minorite,petit_commerce,,dix_trente,oui,,,oui,petit,oui,non,,diarrhee,,palu,,conflit_arme,,non,centre_sante,,,oui,centre_sante,,inf_trente_min,insuffisant,abs_travailleur_sante,,non,,non,non,non,mariage_force,,harcelement,,harcelement,,travail_force,,non,,,neutre,autorite_locale,,non,,habitat_long_terme,,urgence,,urgence,,,oui,non,oui,oui,non,oui,oui,non,non,,oui,oui,oui,oui,oui,oui,oui,non,oui,non,,puit_protege,,forage,,inf_quinze_min,non,insuffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,non,non,,oui,,,plus_moitie,moins_moitie,majorite,moins_moitie,enregistrement_impossible,,non,,chef_communaute,,non,oui,,secal,eha,protection,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,obo,mboki,kpabo,,,,,,,,,,,,non,,,,non,oui,minorite,3_dernier_mois,oui,haut_mbomou,zemio,autre,,acces_service,,,oui,dernier_mois,oui,haut_mbomou,obo,,non,,,,,famille,,,non,,,,1,1,0,0,1,0,0,0,0,,,1,0,1,0,1,0,0,0,0,0,,0,,non,,,non,,oui,oui,non,non,,minorite,agriculture,,inf_dix,non,manque_semence_outils,,oui,petit,non,non,,fievre,,diarrhee,,maladie,,non,maison,,,oui,centre_sante,,inf_demie_journee,insuffisant,medicament_indispo,,non,,non,non,non,mariage_force,,mariage_force,,meurtre_blessure_different_group,,meurtre_blessure_different_group,,oui,etudes,,bonne,autorite_locale,,non,,habitat_long_terme,,urgence,,urgence,,,oui,non,oui,oui,non,oui,oui,non,non,,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,,source_amenagee,,source_amenagee,,inf_trente_min,oui,insuffisant,attente_nb_insuffisant,,,defecation_air_libre,,non,non,,non,autre,,presque_aucun,presque_aucun,moins_moitie,plus_moitie,prix_transport,,non,,chef_communaute,,non,oui,,sante,secal,education,,,,,,,,,,,,,,,
,,,,,,,,,,,haut_mbomou,obo,mboki,mboki,,,,,,,,,,,,oui,3_dernier_mois,conflits_communautaire,,non,non,,,,,,,,,,,oui,dernier_mois,oui,haut_mbomou,obo,,non,,,,,baisse_assistance,,,non,,,,1,1,0,1,1,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,,0,,oui,non,oui,non,,oui,oui,non,non,,minorite,AC,,dix_trente,non,insecurite,,oui,grand,oui,non,,diarrhee,,palu,,conflit_arme,,oui,centre_sante,,,oui,centre_sante,,inf_trente_min,insuffisant,medicament_indispo,,non,,oui,non,non,violence_sexuelle,,kidnapping_travail_force,,travail_force,,recrutement_force,,non,,,fragile,autorite_locale,,non,,habitat_long_terme,,habitat_long_terme,,habitat_long_terme,,,oui,non,oui,oui,oui,oui,oui,non,non,,oui,oui,oui,oui,oui,oui,non,non,oui,non,,puit_non_protege,,puit_non_protege,,inf_trente_min,non,insuffisant,attente_nb_insuffisant,,,latrine_non_acceptable,,oui,non,,oui,,,moins_moitie,plus_moitie,moins_moitie,plus_moitie,enregistrement_impossible,,non,,chef_communaute,,non,non,,secal,AC,education,,,,,,,,,,,,,,,
